en_distance,en_distance_blue,en_distance_ter,en_distance_tri,en_distance_LCS,includesFurmula,onlyNumbers,includesBraces,hasFormatting,numberOfWords,includesLink,reviewScore
21,0.7054014374,0.1666666667,-4,90.625,0,0,0,0,6,0,0.5411880734
4,0.935506985,-1,-1,97.22222222,0,0,0,0,15,0,0.4151781712
4,0.9310627797,-1,-1,96.66666667,0,0,0,0,14,0,0.4170853013
23,0.8574039192,-1,-1,89.23076923,0,0,0,0,13,0,0.482669918
18,0.7980538112,-1,-1,85.9375,0,0,0,0,14,0,0.495770948
16,0.8974358974,-1,-1,86.53846154,0,0,0,0,39,0,0.4516000795
17,0.7,0.8,-16,86.53846154,0,0,0,0,10,0,0.5329457364
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
7,0.6666666667,0.3333333333,-2,92.30769231,0,0,0,0,3,0,0.5355297158
2,0.8874100177,-1,-1,98.88888889,0,0,0,0,17,0,0.42964044
26,0.7692307692,0.03846153846,-52,80.76923077,0,0,0,0,26,0,0.5211687537
0,1,0,0,100,0,0,0,0,1,0,0.4186046512
0,1,0,0,100,0,0,0,0,1,0,0.4186046512
0,1,0.03448275862,-2,99.34640523,0,0,0,0,29,0,0.3811815023
1,0.9574533681,0.04347826087,-4,99.15966387,0,0,0,0,23,0,0.3999590923
8,0.9459459459,-1,-1,94.15730337,0,0,0,0,74,0,0.4168238005
